,co,no,no2,o3,so2,pm2_5,pm10,nh3,date_period,date_day,date_month,date_year,name_month,date_hour
12486,287.06,0.0,5.18,22.89,0.44,11.48,12.48,1.19,2022-06-09 06:00:00,9,6,2022,June,6
12487,330.45,0.07,9.0,24.32,0.71,14.45,15.58,1.41,2022-06-09 07:00:00,9,6,2022,June,7
12488,417.23,2.99,14.05,21.46,0.98,17.11,18.46,1.79,2022-06-09 08:00:00,9,6,2022,June,8
12489,494.0,4.86,17.31,41.84,1.15,18.97,20.5,1.93,2022-06-09 09:00:00,9,6,2022,June,9
12490,400.54,0.59,5.4,105.86,1.03,19.08,20.09,1.54,2022-06-09 10:00:00,9,6,2022,June,10
12491,357.15,0.29,2.68,103.0,0.86,14.78,15.6,1.14,2022-06-09 11:00:00,9,6,2022,June,11
12492,300.41,0.22,1.74,81.54,0.6,8.22,8.8,0.74,2022-06-09 12:00:00,9,6,2022,June,12
12493,236.99,0.08,0.49,52.21,0.19,3.05,3.39,0.34,2022-06-09 13:00:00,9,6,2022,June,13
12494,230.31,0.07,0.39,50.07,0.14,2.28,2.56,0.3,2022-06-09 14:00:00,9,6,2022,June,14
12495,226.97,0.06,0.4,49.35,0.12,2.08,2.34,0.3,2022-06-09 15:00:00,9,6,2022,June,15
12496,250.34,0.37,2.91,45.06,0.31,2.26,2.56,0.54,2022-06-09 16:00:00,9,6,2022,June,16
12497,300.41,0.58,8.48,36.48,0.61,2.72,3.12,0.93,2022-06-09 17:00:00,9,6,2022,June,17
12498,343.8,0.13,14.22,23.25,0.83,3.12,3.61,1.23,2022-06-09 18:00:00,9,6,2022,June,18
12499,353.81,0.04,14.05,15.56,0.97,3.3,3.9,1.42,2022-06-09 19:00:00,9,6,2022,June,19
12500,333.79,0.06,11.65,12.7,1.04,3.39,4.08,1.5,2022-06-09 20:00:00,9,6,2022,June,20
12501,317.1,0.05,9.68,11.98,1.04,3.5,4.23,1.54,2022-06-09 21:00:00,9,6,2022,June,21
12502,310.42,0.12,9.25,10.37,1.06,3.79,4.58,1.6,2022-06-09 22:00:00,9,6,2022,June,22
12503,313.76,0.39,10.02,6.17,0.93,4.11,5.0,1.71,2022-06-09 23:00:00,9,6,2022,June,23
12504,307.08,0.68,9.94,3.13,0.61,4.17,5.08,1.63,2022-06-10 00:00:00,10,6,2022,June,0
12505,287.06,0.71,8.91,1.74,0.39,4.1,5.01,1.22,2022-06-10 01:00:00,10,6,2022,June,1
12506,270.37,0.57,7.63,1.48,0.34,4.06,4.95,1.04,2022-06-10 02:00:00,10,6,2022,June,2
12507,257.02,0.35,6.25,1.97,0.34,4.08,4.95,1.04,2022-06-10 03:00:00,10,6,2022,June,3
12508,247.0,0.19,5.14,2.73,0.37,4.08,4.94,1.23,2022-06-10 04:00:00,10,6,2022,June,4
12509,236.99,0.2,4.5,3.08,0.39,4.06,4.91,1.41,2022-06-10 05:00:00,10,6,2022,June,5
12510,233.65,0.49,4.71,2.57,0.43,4.09,4.93,1.54,2022-06-10 06:00:00,10,6,2022,June,6
12511,263.69,2.71,6.17,1.15,0.66,4.29,5.19,1.74,2022-06-10 07:00:00,10,6,2022,June,7
12512,347.14,10.62,6.85,2.91,0.95,4.89,5.94,1.88,2022-06-10 08:00:00,10,6,2022,June,8
12513,427.25,13.41,12.68,12.87,1.09,5.6,6.78,1.8,2022-06-10 09:00:00,10,6,2022,June,9
12514,293.73,1.03,5.48,63.66,0.72,3.89,4.46,0.98,2022-06-10 10:00:00,10,6,2022,June,10
12515,290.39,0.32,2.74,86.55,0.69,3.91,4.44,0.87,2022-06-10 11:00:00,10,6,2022,June,11
12516,283.72,0.19,1.69,82.97,0.57,3.54,4.03,0.72,2022-06-10 12:00:00,10,6,2022,June,12
12517,240.33,0.09,0.63,59.37,0.25,2.78,3.19,0.4,2022-06-10 13:00:00,10,6,2022,June,13
12518,233.65,0.08,0.54,54.36,0.18,2.59,2.97,0.35,2022-06-10 14:00:00,10,6,2022,June,14
12519,230.31,0.07,0.59,52.93,0.16,2.58,2.94,0.36,2022-06-10 15:00:00,10,6,2022,June,15
12520,280.38,0.65,6.6,43.63,0.48,3.01,3.46,0.82,2022-06-10 16:00:00,10,6,2022,June,16
12521,370.5,1.37,16.11,37.19,0.88,3.79,4.42,1.33,2022-06-10 17:00:00,10,6,2022,June,17
12522,447.27,0.7,26.05,23.25,1.13,4.49,5.29,1.71,2022-06-10 18:00:00,10,6,2022,June,18
12523,467.3,0.29,28.1,8.4,1.33,4.81,5.78,1.98,2022-06-10 19:00:00,10,6,2022,June,19
12524,467.3,1.31,24.68,2.64,1.53,4.97,6.15,2.22,2022-06-10 20:00:00,10,6,2022,June,20
12525,453.95,2.93,21.42,0.68,1.68,5.24,6.63,2.47,2022-06-10 21:00:00,10,6,2022,June,21
12526,440.6,4.36,18.34,0.36,1.94,5.43,6.94,2.98,2022-06-10 22:00:00,10,6,2022,June,22
12527,440.6,5.53,18.16,0.23,2.29,5.63,7.19,3.93,2022-06-10 23:00:00,10,6,2022,June,23
12528,440.6,6.15,19.54,0.16,2.44,5.93,7.46,4.88,2022-06-11 00:00:00,11,6,2022,June,0
12529,433.92,5.14,20.39,0.11,2.26,6.44,7.85,5.7,2022-06-11 01:00:00,11,6,2022,June,1
12530,410.56,3.74,20.22,0.17,2.15,6.89,8.16,6.46,2022-06-11 02:00:00,11,6,2022,June,2
12531,393.87,2.54,20.05,0.34,2.15,7.15,8.31,7.28,2022-06-11 03:00:00,11,6,2022,June,3
12532,373.84,1.48,18.85,0.58,2.09,7.42,8.48,7.98,2022-06-11 04:00:00,11,6,2022,June,4
12533,333.79,0.67,14.57,1.24,1.74,7.63,8.57,7.73,2022-06-11 05:00:00,11,6,2022,June,5
12534,287.06,0.39,9.25,2.15,1.13,7.59,8.38,5.76,2022-06-11 06:00:00,11,6,2022,June,6
12535,277.04,1.56,7.03,1.4,0.66,7.46,8.23,2.31,2022-06-11 07:00:00,11,6,2022,June,7
12536,310.42,5.59,6.6,4.38,0.64,7.39,8.24,1.66,2022-06-11 08:00:00,11,6,2022,June,8
12537,330.45,4.86,9.17,21.1,0.68,7.38,8.25,1.69,2022-06-11 09:00:00,11,6,2022,June,9
12538,263.69,0.32,1.78,45.78,0.47,5.87,6.44,1.36,2022-06-11 10:00:00,11,6,2022,June,10
12539,267.03,0.18,1.19,54.36,0.51,5.73,6.3,1.31,2022-06-11 11:00:00,11,6,2022,June,11
12540,270.37,0.14,1.04,62.23,0.54,5.64,6.23,1.25,2022-06-11 12:00:00,11,6,2022,June,12
12541,267.03,0.08,0.67,62.23,0.34,6.07,6.63,0.87,2022-06-11 13:00:00,11,6,2022,June,13
12542,253.68,0.06,0.52,56.51,0.22,5.06,5.58,0.6,2022-06-11 14:00:00,11,6,2022,June,14
12543,236.99,0.05,0.39,47.92,0.14,3.51,3.97,0.44,2022-06-11 15:00:00,11,6,2022,June,15
12544,257.02,0.45,3.86,36.84,0.32,3.13,3.64,0.77,2022-06-11 16:00:00,11,6,2022,June,16
12545,307.08,0.63,10.02,28.25,0.59,3.54,4.17,1.27,2022-06-11 17:00:00,11,6,2022,June,17
12546,353.81,0.18,16.79,16.45,0.8,4.04,4.8,1.77,2022-06-11 18:00:00,11,6,2022,June,18
12547,383.85,0.15,19.54,8.14,1.03,4.55,5.47,2.12,2022-06-11 19:00:00,11,6,2022,June,19
12548,390.53,0.53,19.71,3.8,1.16,5.08,6.18,2.25,2022-06-11 20:00:00,11,6,2022,June,20
12549,380.52,0.92,18.68,1.88,1.15,5.44,6.71,2.44,2022-06-11 21:00:00,11,6,2022,June,21
12550,360.49,1.17,16.45,1.26,1.04,5.64,7.02,2.5,2022-06-11 22:00:00,11,6,2022,June,22
12551,340.46,1.49,14.22,0.86,0.83,5.67,7.11,2.63,2022-06-11 23:00:00,11,6,2022,June,23
12552,317.1,1.37,12.17,0.77,0.54,5.5,6.87,2.79,2022-06-12 00:00:00,12,6,2022,June,0
12553,267.03,0.5,9.08,1.39,0.33,4.97,6.1,2.63,2022-06-12 01:00:00,12,6,2022,June,1
12554,230.31,0.13,6.17,1.81,0.27,4.64,5.59,2.18,2022-06-12 02:00:00,12,6,2022,June,2
12555,213.62,0.08,4.54,1.83,0.29,4.52,5.41,1.9,2022-06-12 03:00:00,12,6,2022,June,3
12556,203.61,0.07,3.9,1.88,0.41,4.54,5.39,2.56,2022-06-12 04:00:00,12,6,2022,June,4
12557,201.94,0.09,3.98,1.99,0.58,4.62,5.45,3.86,2022-06-12 05:00:00,12,6,2022,June,5
12558,206.95,0.23,4.54,1.99,0.73,4.98,5.78,4.94,2022-06-12 06:00:00,12,6,2022,June,6
12559,233.65,1.65,6.68,0.98,1.09,5.53,6.41,6.08,2022-06-12 07:00:00,12,6,2022,June,7
12560,293.73,6.71,8.4,3.26,1.58,6.14,7.16,7.09,2022-06-12 08:00:00,12,6,2022,June,8
12561,333.79,6.82,13.37,20.92,1.68,6.83,7.94,6.71,2022-06-12 09:00:00,12,6,2022,June,9
12562,263.69,0.3,1.93,40.41,0.43,8.22,8.94,2.22,2022-06-12 10:00:00,12,6,2022,June,10
12563,267.03,0.1,0.9,42.2,0.31,8.34,9.06,1.74,2022-06-12 11:00:00,12,6,2022,June,11
12564,267.03,0.06,0.69,38.62,0.26,8.01,8.73,1.61,2022-06-12 12:00:00,12,6,2022,June,12
12565,263.69,0.03,0.47,35.41,0.18,7.37,8.04,1.31,2022-06-12 13:00:00,12,6,2022,June,13
12566,263.69,0.03,0.51,33.97,0.17,6.94,7.55,1.19,2022-06-12 14:00:00,12,6,2022,June,14
12567,263.69,0.04,0.62,32.9,0.18,6.4,6.94,1.14,2022-06-12 15:00:00,12,6,2022,June,15
12568,300.41,0.35,5.65,25.39,0.4,6.45,7.02,1.28,2022-06-12 16:00:00,12,6,2022,June,16
12569,360.49,0.45,13.54,16.81,0.63,7.04,7.7,1.57,2022-06-12 17:00:00,12,6,2022,June,17
12570,397.21,0.47,19.02,6.79,0.73,7.24,7.98,1.87,2022-06-12 18:00:00,12,6,2022,June,18
12571,413.89,1.82,19.54,1.35,0.86,7.11,7.92,2.12,2022-06-12 19:00:00,12,6,2022,June,19
12572,400.54,3.35,15.25,0.42,0.84,6.56,7.37,2.01,2022-06-12 20:00:00,12,6,2022,June,20
12573,350.48,2.93,10.71,0.64,0.69,5.53,6.21,1.79,2022-06-12 21:00:00,12,6,2022,June,21
12574,263.69,0.05,4.41,7.42,0.48,3.33,3.66,1.17,2022-06-12 22:00:00,12,6,2022,June,22
12575,247.0,0.03,3.13,8.14,0.44,2.73,3.01,0.97,2022-06-12 23:00:00,12,6,2022,June,23
12576,240.33,0.02,2.91,7.78,0.39,2.54,2.78,0.8,2022-06-13 00:00:00,13,6,2022,June,0
12577,233.65,0.02,2.66,6.97,0.34,2.5,2.71,0.66,2022-06-13 01:00:00,13,6,2022,June,1
12578,226.97,0.01,2.29,6.44,0.32,2.49,2.68,0.57,2022-06-13 02:00:00,13,6,2022,June,2
12579,223.64,0.01,2.06,6.44,0.32,2.5,2.69,0.52,2022-06-13 03:00:00,13,6,2022,June,3
12580,220.3,0.01,1.99,5.99,0.3,2.58,2.77,0.48,2022-06-13 04:00:00,13,6,2022,June,4
12581,216.96,0.04,2.12,4.6,0.27,2.69,2.91,0.5,2022-06-13 05:00:00,13,6,2022,June,5
12582,213.62,0.17,2.63,3.13,0.28,2.92,3.18,0.58,2022-06-13 06:00:00,13,6,2022,June,6
12583,233.65,1.33,4.2,1.33,0.41,3.25,3.62,0.63,2022-06-13 07:00:00,13,6,2022,June,7
12584,263.69,4.19,5.01,3.67,0.51,3.58,4.05,0.7,2022-06-13 08:00:00,13,6,2022,June,8
12585,263.69,3.16,6.17,18.95,0.51,3.83,4.31,0.92,2022-06-13 09:00:00,13,6,2022,June,9
12586,253.68,0.2,1.0,30.4,0.18,4.06,4.33,1.17,2022-06-13 10:00:00,13,6,2022,June,10
12587,263.69,0.1,0.59,34.69,0.17,4.62,4.95,1.25,2022-06-13 11:00:00,13,6,2022,June,11
12588,270.37,0.08,0.52,37.19,0.18,4.73,5.08,1.25,2022-06-13 12:00:00,13,6,2022,June,12
12589,270.37,0.07,0.47,36.48,0.17,4.52,4.87,1.16,2022-06-13 13:00:00,13,6,2022,June,13
12590,270.37,0.08,0.48,34.69,0.16,4.04,4.36,1.03,2022-06-13 14:00:00,13,6,2022,June,14
12591,270.37,0.08,0.5,32.9,0.16,3.51,3.79,0.96,2022-06-13 15:00:00,13,6,2022,June,15
12592,287.06,0.38,2.51,36.48,0.31,3.62,3.92,1.03,2022-06-13 16:00:00,13,6,2022,June,16
12593,320.43,0.59,6.43,43.27,0.51,4.52,4.89,1.22,2022-06-13 17:00:00,13,6,2022,June,17
12594,340.46,0.21,10.54,33.26,0.58,5.24,5.68,1.42,2022-06-13 18:00:00,13,6,2022,June,18
12595,353.81,0.01,13.54,18.95,0.7,5.86,6.4,1.68,2022-06-13 19:00:00,13,6,2022,June,19
12596,360.49,0.11,14.39,10.1,0.8,6.54,7.21,1.87,2022-06-13 20:00:00,13,6,2022,June,20
12597,353.81,0.29,12.68,5.5,0.77,7.02,7.79,1.79,2022-06-13 21:00:00,13,6,2022,June,21
12598,350.48,0.52,10.88,3.22,0.77,7.43,8.31,1.49,2022-06-13 22:00:00,13,6,2022,June,22
12599,340.46,0.54,9.25,2.82,0.68,7.53,8.42,1.19,2022-06-13 23:00:00,13,6,2022,June,23
12600,317.1,0.2,7.28,4.43,0.52,7.31,8.07,0.92,2022-06-14 00:00:00,14,6,2022,June,0
12601,283.72,0.01,3.81,9.75,0.42,6.83,7.33,0.78,2022-06-14 01:00:00,14,6,2022,June,1
12602,263.69,0.0,2.46,9.92,0.38,6.55,6.94,0.63,2022-06-14 02:00:00,14,6,2022,June,2
12603,253.68,0.0,2.18,8.4,0.37,6.1,6.43,0.52,2022-06-14 03:00:00,14,6,2022,June,3
12604,243.66,0.01,2.1,7.24,0.36,5.24,5.52,0.45,2022-06-14 04:00:00,14,6,2022,June,4
12605,240.33,0.01,2.06,6.44,0.35,4.19,4.42,0.42,2022-06-14 05:00:00,14,6,2022,June,5
12606,236.99,0.03,2.23,5.81,0.37,3.24,3.44,0.42,2022-06-14 06:00:00,14,6,2022,June,6
12607,240.33,0.21,3.3,4.83,0.44,2.52,2.74,0.43,2022-06-14 07:00:00,14,6,2022,June,7
12608,253.68,0.81,4.84,4.2,0.5,1.98,2.22,0.49,2022-06-14 08:00:00,14,6,2022,June,8
12609,253.68,0.95,4.46,10.1,0.45,1.57,1.8,0.58,2022-06-14 09:00:00,14,6,2022,June,9
12610,233.65,0.19,1.54,16.63,0.21,0.84,0.94,0.42,2022-06-14 10:00:00,14,6,2022,June,10
12611,230.31,0.12,1.03,17.52,0.19,0.7,0.78,0.38,2022-06-14 11:00:00,14,6,2022,June,11
12612,226.97,0.09,0.79,15.2,0.18,0.6,0.67,0.34,2022-06-14 12:00:00,14,6,2022,June,12
12613,220.3,0.07,0.66,13.41,0.14,0.5,0.55,0.29,2022-06-14 13:00:00,14,6,2022,June,13
12614,216.96,0.07,0.57,16.45,0.12,0.5,0.54,0.27,2022-06-14 14:00:00,14,6,2022,June,14
12615,213.62,0.07,0.48,22.35,0.12,0.5,0.54,0.26,2022-06-14 15:00:00,14,6,2022,June,15
12616,267.03,1.13,5.57,20.74,0.38,0.68,0.83,0.7,2022-06-14 16:00:00,14,6,2022,June,16
12617,353.81,2.4,13.71,13.23,0.66,1.49,1.8,1.16,2022-06-14 17:00:00,14,6,2022,June,17
12618,447.27,5.14,19.88,2.44,0.89,2.32,2.8,1.6,2022-06-14 18:00:00,14,6,2022,June,18
12619,514.03,11.29,17.65,0.04,1.12,3.03,3.75,1.99,2022-06-14 19:00:00,14,6,2022,June,19
12620,527.38,14.31,14.91,0.01,1.13,3.52,4.5,1.92,2022-06-14 20:00:00,14,6,2022,June,20
12621,500.68,12.74,13.71,0.02,0.95,3.64,4.72,1.44,2022-06-14 21:00:00,14,6,2022,June,21
12622,433.92,6.65,13.88,0.04,0.83,3.26,4.14,1.16,2022-06-14 22:00:00,14,6,2022,June,22
12623,397.21,5.53,12.0,0.04,0.72,3.12,4.02,0.96,2022-06-14 23:00:00,14,6,2022,June,23
12624,360.49,4.92,9.6,0.05,0.51,2.92,3.79,0.76,2022-06-15 00:00:00,15,6,2022,June,0
12625,320.43,3.74,7.63,0.06,0.35,2.6,3.41,0.7,2022-06-15 01:00:00,15,6,2022,June,1
12626,283.72,2.43,6.17,0.13,0.29,2.35,3.12,0.75,2022-06-15 02:00:00,15,6,2022,June,2
12627,253.68,1.22,5.06,0.37,0.29,2.13,2.86,0.85,2022-06-15 03:00:00,15,6,2022,June,3
12628,226.97,0.41,4.16,0.89,0.29,1.89,2.58,1.0,2022-06-15 04:00:00,15,6,2022,June,4
12629,210.29,0.21,3.43,1.61,0.29,1.7,2.32,0.97,2022-06-15 05:00:00,15,6,2022,June,5
12630,200.27,0.3,3.21,2.21,0.31,1.55,2.12,0.85,2022-06-15 06:00:00,15,6,2022,June,6
12631,216.96,0.95,4.54,2.79,0.43,1.49,2.03,0.74,2022-06-15 07:00:00,15,6,2022,June,7
12632,260.35,3.55,5.83,5.63,0.58,1.64,2.21,0.76,2022-06-15 08:00:00,15,6,2022,June,8
12633,297.07,4.41,7.97,18.78,0.69,1.94,2.56,0.89,2022-06-15 09:00:00,15,6,2022,June,9
12634,240.33,0.64,2.68,38.62,0.4,1.34,1.64,0.72,2022-06-15 10:00:00,15,6,2022,June,10
12635,220.3,0.19,0.88,35.05,0.25,1.38,1.63,0.62,2022-06-15 11:00:00,15,6,2022,June,11
12636,210.29,0.11,0.45,30.04,0.17,1.35,1.6,0.55,2022-06-15 12:00:00,15,6,2022,June,12
12637,208.62,0.07,0.31,35.05,0.12,1.33,1.6,0.43,2022-06-15 13:00:00,15,6,2022,June,13
12638,216.96,0.08,0.35,40.05,0.12,1.49,1.75,0.41,2022-06-15 14:00:00,15,6,2022,June,14
12639,226.97,0.08,0.41,42.56,0.12,1.88,2.1,0.43,2022-06-15 15:00:00,15,6,2022,June,15
12640,290.39,1.33,5.57,40.77,0.45,2.84,3.14,0.83,2022-06-15 16:00:00,15,6,2022,June,16
12641,393.87,2.21,13.88,40.77,0.82,4.13,4.6,1.3,2022-06-15 17:00:00,15,6,2022,June,17
12642,487.33,0.99,24.33,23.96,1.13,5.18,5.83,1.84,2022-06-15 18:00:00,15,6,2022,June,18
12643,534.06,0.61,27.08,5.9,1.52,5.63,6.48,2.47,2022-06-15 19:00:00,15,6,2022,June,19
12644,527.38,3.32,21.93,0.61,1.79,5.99,7.05,2.85,2022-06-15 20:00:00,15,6,2022,June,20
12645,507.35,6.43,16.96,0.11,1.85,6.53,7.73,2.94,2022-06-15 21:00:00,15,6,2022,June,21
12646,460.62,7.26,12.68,0.13,1.56,6.75,7.99,2.37,2022-06-15 22:00:00,15,6,2022,June,22
12647,407.22,6.87,9.68,0.15,1.06,6.44,7.63,1.42,2022-06-15 23:00:00,15,6,2022,June,23
12648,363.83,4.58,8.83,0.43,0.61,5.66,6.66,0.91,2022-06-16 00:00:00,16,6,2022,June,0
12649,323.77,1.37,8.57,1.23,0.38,4.79,5.58,0.69,2022-06-16 01:00:00,16,6,2022,June,1
12650,293.73,0.47,7.03,1.79,0.32,4.43,5.16,0.72,2022-06-16 02:00:00,16,6,2022,June,2
12651,267.03,0.14,5.06,2.84,0.31,4.24,4.91,0.82,2022-06-16 03:00:00,16,6,2022,June,3
12652,243.66,0.06,3.68,3.49,0.31,4.11,4.74,0.89,2022-06-16 04:00:00,16,6,2022,June,4
12653,226.97,0.1,3.13,3.58,0.34,3.98,4.59,1.03,2022-06-16 05:00:00,16,6,2022,June,5
12654,223.64,0.29,3.51,3.31,0.44,3.95,4.55,1.38,2022-06-16 06:00:00,16,6,2022,June,6
12655,257.02,1.08,6.68,3.67,0.74,4.66,5.3,1.73,2022-06-16 07:00:00,16,6,2022,June,7
12656,337.12,5.14,9.85,5.99,0.92,5.42,6.16,1.57,2022-06-16 08:00:00,16,6,2022,June,8
12657,407.22,7.15,12.34,18.95,0.94,5.6,6.41,1.44,2022-06-16 09:00:00,16,6,2022,June,9
12658,260.35,0.42,1.99,45.06,0.29,2.44,2.7,0.58,2022-06-16 10:00:00,16,6,2022,June,10
12659,243.66,0.15,0.74,43.27,0.19,1.87,2.18,0.49,2022-06-16 11:00:00,16,6,2022,June,11
12660,240.33,0.11,0.52,41.84,0.15,1.97,2.33,0.51,2022-06-16 12:00:00,16,6,2022,June,12
12661,240.33,0.11,0.61,50.78,0.13,2.62,3.03,0.49,2022-06-16 13:00:00,16,6,2022,June,13
12662,257.02,0.16,1.09,68.66,0.18,4.76,5.18,0.63,2022-06-16 14:00:00,16,6,2022,June,14
12663,307.08,0.21,2.03,97.27,0.34,11.13,11.54,1.14,2022-06-16 15:00:00,16,6,2022,June,15
12664,433.92,0.7,8.48,101.57,0.74,20.67,21.21,1.61,2022-06-16 16:00:00,16,6,2022,June,16
12665,594.14,0.75,17.14,87.98,1.07,30.53,31.23,1.85,2022-06-16 17:00:00,16,6,2022,June,17
12666,727.65,0.14,26.39,57.94,1.36,37.71,38.58,2.31,2022-06-16 18:00:00,16,6,2022,June,18
12667,761.03,0.0,29.13,33.62,1.71,40.12,41.17,2.88,2022-06-16 19:00:00,16,6,2022,June,19
12668,707.63,0.01,26.05,19.67,1.8,37.19,38.43,2.94,2022-06-16 20:00:00,16,6,2022,June,20
12669,634.19,0.06,22.62,11.8,1.61,32.39,33.81,2.69,2022-06-16 21:00:00,16,6,2022,June,21
12670,527.38,0.11,17.48,9.75,1.34,26.47,27.98,2.28,2022-06-16 22:00:00,16,6,2022,June,22
12671,460.62,0.11,14.57,10.19,1.12,23.93,25.42,2.06,2022-06-16 23:00:00,16,6,2022,June,23
12672,427.25,0.07,12.85,10.64,0.82,25.23,26.62,1.93,2022-06-17 00:00:00,17,6,2022,June,0
12673,420.57,0.03,10.97,10.01,0.57,27.58,28.84,1.69,2022-06-17 01:00:00,17,6,2022,June,1
12674,400.54,0.03,9.17,7.87,0.44,27.6,28.83,1.31,2022-06-17 02:00:00,17,6,2022,June,2
12675,360.49,0.02,7.37,7.15,0.41,25.34,26.54,1.33,2022-06-17 03:00:00,17,6,2022,June,3
12676,327.11,0.03,6.08,6.53,0.42,22.66,23.84,1.47,2022-06-17 04:00:00,17,6,2022,June,4
12677,303.75,0.06,5.4,5.68,0.36,20.54,21.65,1.06,2022-06-17 05:00:00,17,6,2022,June,5
12678,293.73,0.16,5.74,5.28,0.36,18.77,19.82,0.86,2022-06-17 06:00:00,17,6,2022,June,6
12679,310.42,0.42,7.88,5.81,0.58,16.99,17.96,1.03,2022-06-17 07:00:00,17,6,2022,June,7
12680,353.81,3.05,9.6,9.92,0.81,15.97,17.03,1.2,2022-06-17 08:00:00,17,6,2022,June,8
12681,403.88,4.08,12.34,31.83,0.95,16.86,18.05,1.39,2022-06-17 09:00:00,17,6,2022,June,9
12682,377.18,1.06,7.11,78.68,0.98,15.7,16.71,1.36,2022-06-17 10:00:00,17,6,2022,June,10
12683,337.12,0.36,3.04,89.41,0.78,11.05,11.87,1.08,2022-06-17 11:00:00,17,6,2022,June,11
12684,297.07,0.24,1.8,75.1,0.57,6.48,7.11,0.85,2022-06-17 12:00:00,17,6,2022,June,12
12685,247.0,0.1,0.55,43.99,0.21,3.03,3.45,0.59,2022-06-17 13:00:00,17,6,2022,June,13
12686,243.66,0.11,0.54,42.56,0.17,2.67,3.03,0.55,2022-06-17 14:00:00,17,6,2022,June,14
12687,236.99,0.12,0.67,46.49,0.17,2.65,2.97,0.52,2022-06-17 15:00:00,17,6,2022,June,15
12688,293.73,1.26,6.6,50.07,0.5,3.44,3.87,0.92,2022-06-17 16:00:00,17,6,2022,June,16
12689,400.54,1.84,15.77,55.79,0.89,4.98,5.6,1.42,2022-06-17 17:00:00,17,6,2022,June,17
12690,480.65,0.71,25.7,36.48,1.13,6.02,6.84,1.93,2022-06-17 18:00:00,17,6,2022,June,18
12691,494.0,0.16,28.1,11.62,1.39,6.15,7.2,2.41,2022-06-17 19:00:00,17,6,2022,June,19
12692,467.3,1.48,22.96,2.1,1.4,6.08,7.32,2.37,2022-06-17 20:00:00,17,6,2022,June,20
12693,440.6,3.63,16.79,0.38,1.24,6.09,7.42,2.18,2022-06-17 21:00:00,17,6,2022,June,21
12694,400.54,4.75,12.0,0.32,1.09,5.91,7.22,1.99,2022-06-17 22:00:00,17,6,2022,June,22
12695,373.84,5.31,9.85,0.25,0.97,5.81,7.1,1.95,2022-06-17 23:00:00,17,6,2022,June,23
12696,360.49,5.36,9.68,0.25,0.8,5.89,7.16,1.9,2022-06-18 00:00:00,18,6,2022,June,0
12697,343.8,3.91,10.11,0.36,0.67,5.94,7.16,2.01,2022-06-18 01:00:00,18,6,2022,June,1
12698,317.1,1.76,9.85,1.16,0.53,5.85,6.99,1.76,2022-06-18 02:00:00,18,6,2022,June,2
12699,283.72,0.25,7.8,3.84,0.42,5.61,6.62,1.47,2022-06-18 03:00:00,18,6,2022,June,3
12700,257.02,0.02,5.06,6.97,0.37,5.58,6.48,1.36,2022-06-18 04:00:00,18,6,2022,June,4
12701,243.66,0.02,3.81,8.14,0.34,5.99,6.85,1.36,2022-06-18 05:00:00,18,6,2022,June,5
12702,236.99,0.06,3.86,7.87,0.35,6.75,7.61,1.35,2022-06-18 06:00:00,18,6,2022,June,6
12703,257.02,0.5,6.17,5.81,0.51,7.44,8.37,1.52,2022-06-18 07:00:00,18,6,2022,June,7
12704,313.76,4.3,7.97,6.62,0.77,8.11,9.17,1.82,2022-06-18 08:00:00,18,6,2022,June,8
12705,373.84,5.87,12.17,23.96,1.03,9.71,10.89,2.22,2022-06-18 09:00:00,18,6,2022,June,9
12706,370.5,1.63,10.62,80.11,1.09,11.08,12.13,2.22,2022-06-18 10:00:00,18,6,2022,June,10
12707,343.8,0.48,4.5,94.41,0.86,10.45,11.32,1.54,2022-06-18 11:00:00,18,6,2022,June,11
12708,303.75,0.29,2.33,74.39,0.63,8.11,8.81,1.08,2022-06-18 12:00:00,18,6,2022,June,12
12709,257.02,0.1,0.54,47.21,0.23,4.75,5.23,0.59,2022-06-18 13:00:00,18,6,2022,June,13
12710,277.04,0.14,0.87,59.37,0.31,7.29,7.77,0.7,2022-06-18 14:00:00,18,6,2022,June,14
12711,307.08,0.16,1.29,76.53,0.43,10.74,11.24,0.87,2022-06-18 15:00:00,18,6,2022,June,15
12712,337.12,0.34,3.13,79.39,0.54,13.04,13.59,1.04,2022-06-18 16:00:00,18,6,2022,June,16
12713,373.84,0.48,6.94,69.38,0.66,13.94,14.56,1.28,2022-06-18 17:00:00,18,6,2022,June,17
12714,407.22,0.13,11.14,49.35,0.77,13.75,14.45,1.52,2022-06-18 18:00:00,18,6,2022,June,18
12715,427.25,0.0,13.88,25.39,0.93,13.68,14.56,1.82,2022-06-18 19:00:00,18,6,2022,June,19
12716,433.92,0.05,14.74,10.91,1.01,14.22,15.32,2.06,2022-06-18 20:00:00,18,6,2022,June,20
12717,427.25,0.19,13.71,5.59,0.95,14.72,15.95,2.12,2022-06-18 21:00:00,18,6,2022,June,21
12718,413.89,0.34,12.17,3.98,0.93,15.36,16.67,2.18,2022-06-18 22:00:00,18,6,2022,June,22
12719,400.54,0.45,11.65,3.35,1.0,15.73,17.08,2.5,2022-06-18 23:00:00,18,6,2022,June,23
12720,393.87,0.44,12.0,2.91,1.0,15.9,17.25,3.07,2022-06-19 00:00:00,19,6,2022,June,0
12721,373.84,0.24,11.82,2.73,1.0,15.51,16.8,3.83,2022-06-19 01:00:00,19,6,2022,June,1
